,,,g_mean,g_mean,macro_f1,macro_f1,accuracy,accuracy,seed
,,,mean,std,mean,std,mean,std,count
task,model,strategy,,,,,,,
binary,lr,s0,0.7889,0.0011,0.7931,0.0012,0.8074,0.001,5
binary,lr,s1,0.8238,0.0016,0.8285,0.0016,0.8347,0.0014,5
binary,lr,s2a,0.8258,0.0016,0.8305,0.0016,0.8366,0.0014,2
binary,rf,s0,0.8531,0.0026,0.8599,0.0026,0.8668,0.0023,5
binary,rf,s1,0.8819,0.0138,0.8877,0.0133,0.8917,0.0119,5
binary,rf,s2a,0.888,0.0077,0.8935,0.0073,0.8969,0.0066,5
binary,xgb,s0,0.8624,0.0016,0.8692,0.0016,0.875,0.0015,5
binary,xgb,s1,0.9015,0.0024,0.9062,0.0023,0.9086,0.0021,5
binary,xgb,s2a,0.899,0.0039,0.9039,0.0037,0.9066,0.0034,5
multi,lr,s0,0.6106,0.0008,0.3404,0.0014,0.6977,0.0,5
multi,lr,s1,0.7278,0.0003,0.3523,0.0008,0.6199,0.0004,5
multi,lr,s2a,0.7322,,0.358,,0.623,,1
multi,rf,s0,0.6873,0.0096,0.458,0.0163,0.7612,0.0073,4
multi,rf,s1,0.6966,,0.4729,,0.7489,,1
multi,rf,s2a,0.7293,,0.4926,,0.7277,,1
multi,xgb,s0,0.7248,,0.5073,,0.768,,1
multi,xgb,s1,0.7948,,0.5128,,0.6863,,1
multi,xgb,s2a,0.7865,,0.5158,,0.699,,1
