experiment_id,task,model,strategy,accuracy,macro_f1,weighted_f1,g_mean,roc_auc,training_time,total_time,timestamp
binary_lr_s0,binary,lr,s0,0.8069644852548219,0.7925522660718973,0.7980857719118185,0.7883642567388707,0.954064577018561,212.73972010612488,212.82104301452637,2026-01-22T12:29:22.870328
binary_lr_s1,binary,lr,s1,0.8340620900743332,0.8277555736818323,0.8310909738711377,0.8231277636941627,0.9548004094715028,214.32182931900024,214.40405750274658,2026-01-22T12:32:57.653020
binary_lr_s2a,binary,lr,s2a,0.8348880143807997,0.8286854221018791,0.8319842858110561,0.8240715203865296,0.9548763435411056,291.92466735839844,292.1683657169342,2026-01-22T12:37:50.086480
binary_rf_s0,binary,rf,s0,0.8642569110430938,0.8570666980014128,0.8603109769499282,0.8502670209696152,0.982425379363304,5.318632364273071,5.710332870483398,2026-01-22T12:37:56.093298
binary_rf_s1,binary,rf,s1,0.8972331535733372,0.8938696456168906,0.8957816841167962,0.8883148363664115,0.9839518671256627,4.859623908996582,5.218258380889893,2026-01-22T12:38:01.594609
binary_rf_s2a,binary,rf,s2a,0.8990550454258368,0.8959318269574722,0.8977563138310902,0.8906448842295044,0.9833780698438668,6.794055938720703,7.286587715148926,2026-01-22T12:38:09.164723
binary_xgb_s0,binary,xgb,s0,0.8742894621775251,0.8684347791234055,0.8712434628640161,0.8617669768506705,0.9851286064256262,1.9145228862762451,2.064954996109009,2026-01-22T12:38:11.539996
binary_xgb_s1,binary,xgb,s1,0.908091629014235,0.9057627046474052,0.9072619395870964,0.9014142661588616,0.985277079492799,1.6963849067687988,1.8394689559936523,2026-01-22T12:38:13.659235
binary_xgb_s2a,binary,xgb,s2a,0.9056381479862022,0.9030393437740654,0.9046457861433453,0.8982697456125498,0.9852264070962342,2.3904690742492676,2.6639978885650635,2026-01-22T12:38:16.603566
multi_lr_s0,multi,lr,s0,0.6939828985084778,0.33375378351124085,0.7038130225961965,0.6050499015062695,0.9440516578918772,842.621720790863,842.8473777770996,2026-01-22T12:52:19.788767
multi_lr_s1,multi,lr,s1,0.6138439488898606,0.33972129448456034,0.6772034014684468,0.7180412906767785,0.9402043132559749,848.5771415233612,848.7995023727417,2026-01-22T13:06:29.088136
multi_lr_s2a,multi,lr,s2a,0.6152893164261769,0.3422320947476479,0.6785103855048328,0.7220019865192814,0.9413197710484477,2705.201222896576,2705.8461809158325,2026-01-22T13:51:35.438933
multi_rf_s0,multi,rf,s0,0.7660933780304134,0.45052655030182553,0.773782554348501,0.6837806198891069,0.9593577411852792,5.157803058624268,6.08743143081665,2026-01-22T13:51:42.118069
multi_rf_s1,multi,rf,s1,0.6899990283243453,0.47344481551627116,0.7400488343351265,0.7355607504031055,0.9539383276688289,4.864245176315308,5.5965187549591064,2026-01-22T13:51:48.222808
multi_rf_s2a,multi,rf,s2a,0.6856143419326629,0.4757216094354567,0.7367266205961318,0.7440454451040087,0.9517406966963853,22.694685220718384,23.742063760757446,2026-01-22T13:52:12.463982
multi_xgb_s0,multi,xgb,s0,0.7693241995821795,0.5091253981172958,0.7822197076851588,0.7267737929305872,0.9626127247354548,14.720528841018677,15.427778720855713,2026-01-22T13:52:28.707722
multi_xgb_s1,multi,xgb,s1,0.6830394014477967,0.5137341567420484,0.7372588837997894,0.7916389642621977,0.9586455515085788,14.474285364151001,15.21675968170166,2026-01-22T13:52:44.436436
multi_xgb_s2a,multi,xgb,s2a,0.6878734878297624,0.5110899926085684,0.741024035644782,0.7860552516635474,0.9584213418943452,40.1112117767334,41.08080434799194,2026-01-22T13:53:26.009887
