experiment_id,seed,task,model,strategy,accuracy,macro_f1,g_mean,training_time,total_time
binary_lr_s0_s42,42,binary,lr,s0,0.8091871933148715,0.7952228304683822,0.7908595837079468,51.45406723022461,54.446489572525024
binary_lr_s1_s42,42,binary,lr,s1,0.8372807656804159,0.8312688072835831,0.8266442665642789,82.16675901412964,82.58120632171631
binary_lr_s2a_s42,42,binary,lr,s2a,0.8375479764854492,0.8315650966362641,0.8269440476389209,108.68293452262878,109.8773205280304
binary_rf_s0_s42,42,binary,rf,s0,0.8704756352329592,0.8640570387109537,0.8572654207635677,127.69744658470154,135.33942818641663
binary_rf_s1_s42,42,binary,rf,s1,0.8703663217218093,0.863995697747467,0.8572431502357383,91.7529182434082,101.80523943901062
binary_rf_s2a_s42,42,binary,rf,s2a,0.8850993538356896,0.8805673946086896,0.8743404348935542,144.2601137161255,151.19173002243042
binary_xgb_s0_s42,42,binary,xgb,s0,0.873621435164942,0.8676666060919551,0.8609715742831864,132.0051143169403,142.92729330062866
binary_xgb_s1_s42,42,binary,xgb,s1,0.9048850993538357,0.9021915101707799,0.897280397356679,102.40686750411987,114.6632981300354
binary_xgb_s2a_s42,42,binary,xgb,s2a,0.9005854345819365,0.8974711963626444,0.892084306533658,146.1956238746643,157.54663491249084
multi_lr_s0_s42,42,multi,lr,s0,0.6976388281591605,0.3380009199237355,0.6090904556095297,256.97113609313965,257.9057629108429
multi_lr_s1_s42,42,multi,lr,s1,0.6205849487441092,0.35375438354356914,0.7284230727603056,274.07481575012207,274.5152223110199
multi_rf_s0_s42,42,multi,rf,s0,0.7505830053927999,0.4823787491249704,0.7016851921612801,133.6669545173645,143.76338481903076
multi_rf_s1_s42,42,multi,rf,s1,0.7489068648885002,0.4728625535241077,0.696604717241606,115.2402446269989,123.51566696166992
multi_rf_s2a_s42,42,multi,rf,s2a,0.7276878977797211,0.49258106182674544,0.729296334584302,164.42178797721863,170.1795358657837
multi_lr_s2a_s42,42,multi,lr,s2a,0.6229898459894088,0.3579793481436783,0.7322444957025928,343.9487748146057,347.200980424881
multi_xgb_s0_s42,42,multi,xgb,s0,0.7679517077199631,0.5072836203632196,0.7247819076102077,123.27348303794861,133.24356126785278
multi_xgb_s1_s42,42,multi,xgb,s1,0.6862702229995628,0.5128342627124204,0.7948148755550177,150.8622055053711,160.88100409507751
multi_xgb_s2a_s42,42,multi,xgb,s2a,0.6989870281300102,0.515819460345403,0.7865169573372476,350.6173303127289,361.56944465637207
