Task,Model,Strategy,Rare_Class,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
multi,LR,S0,Analysis,0.01567398119122257,,0.007385524372230428,,0.010040160642570281,
multi,LR,S0,Backdoor,0.0,,0.0,,0.0,
multi,LR,S0,Shellcode,0.0,,0.0,,0.0,
multi,LR,S0,Worms,0.0,,0.0,,0.0,
multi,LR,S1,Analysis,0.059221160911094785,,0.5952732644017725,,0.10772520716385993,
multi,LR,S1,Backdoor,0.04025110782865583,,0.18696397941680962,,0.06624126405347919,
multi,LR,S1,Shellcode,0.05648574057037718,,0.8121693121693122,,0.10562532255289868,
multi,LR,S1,Worms,0.01680672268907563,,0.8181818181818182,,0.03293687099725526,
multi,LR,S2A,Analysis,0.05707898658718331,,0.5657311669128509,,0.10369568160281575,
multi,LR,S2A,Backdoor,0.047217537942664416,,0.24013722126929674,,0.07891770011273957,
multi,LR,S2A,Shellcode,0.057148210605208916,,0.8068783068783069,,0.10673665791776028,
multi,LR,S2A,Worms,0.017241379310344827,,0.8181818181818182,,0.03377110694183865,
multi,RF,S0,Analysis,0.0316930775646372,,0.056129985228951254,,0.04051172707889126,
multi,RF,S0,Backdoor,0.03176043557168784,,0.24013722126929674,,0.056100981767180924,
multi,RF,S0,Shellcode,0.41008403361344536,,0.6455026455026455,,0.5015416238437821,
multi,RF,S0,Worms,0.5555555555555556,,0.11363636363636363,,0.18867924528301888,
multi,RF,S1,Analysis,0.020036429872495445,,0.03249630723781388,,0.024788732394366197,
multi,RF,S1,Backdoor,0.03234441222395717,,0.24871355060034306,,0.057244374259771025,
multi,RF,S1,Shellcode,0.40765391014975044,,0.6481481481481481,,0.5005107252298263,
multi,RF,S1,Worms,0.5,,0.06818181818181818,,0.12,
multi,RF,S2A,Analysis,0.034650785056848946,,0.09453471196454949,,0.05071315372424723,
multi,RF,S2A,Backdoor,0.049570508231925554,,0.4751286449399657,,0.08977475287635715,
multi,RF,S2A,Shellcode,0.35656836461126007,,0.7037037037037037,,0.47330960854092524,
multi,RF,S2A,Worms,0.55,,0.25,,0.34375,
multi,XGB,S0,Analysis,0.04618614415675298,,0.09748892171344166,,0.06267806267806268,
multi,XGB,S0,Backdoor,0.029513888888888888,,0.058319039451114926,,0.03919308357348703,
multi,XGB,S0,Shellcode,0.3463414634146341,,0.7513227513227513,,0.4741235392320534,
multi,XGB,S0,Worms,0.7727272727272727,,0.38636363636363635,,0.5151515151515151,
multi,XGB,S1,Analysis,0.04558706599522926,,0.25406203840472674,,0.07730337078651685,
multi,XGB,S1,Backdoor,0.05540731439334484,,0.6054888507718696,,0.10152430255967788,
multi,XGB,S1,Shellcode,0.2266072565245067,,0.9417989417989417,,0.36531554643406877,
multi,XGB,S1,Worms,0.5441176470588235,,0.8409090909090909,,0.6607142857142857,
multi,XGB,S2A,Analysis,0.04638009049773756,,0.24224519940915806,,0.07785426062188465,
multi,XGB,S2A,Backdoor,0.05471226021684737,,0.5626072041166381,,0.09972636059592581,
multi,XGB,S2A,Shellcode,0.23975409836065573,,0.9285714285714286,,0.3811074918566775,
multi,XGB,S2A,Worms,0.559322033898305,,0.75,,0.6407766990291263,
