Task,Model,Strategy,Seed,N_Bootstraps,Macro_F1_Mean,Macro_F1_CI_Lower,Macro_F1_CI_Upper,Macro_F1_Error_Margin,G_Mean_Mean,G_Mean_CI_Lower,G_Mean_CI_Upper,G_Mean_Error_Margin
binary,LR,S0,42,1000,0.795220984854769,0.7924401652712629,0.7980556880353117,0.0028077613820243763,0.7698502389991727,0.7668582236313884,0.7730865751813127,0.003114175774962147
binary,LR,S1,42,1000,0.8312376992900051,0.8287281966692428,0.8339036078415146,0.0025877055861359133,0.8199132346091986,0.8171661491153325,0.8228406532150575,0.0028372520498625153
binary,LR,S2A,42,1000,0.8315191595288929,0.8288284651166444,0.8341907562406755,0.002681145562015541,0.8202236385607996,0.8174279246664647,0.8230926680094967,0.002832371671515954
binary,RF,S0,42,1000,0.8641193365692191,0.8617798809085215,0.8664187504713164,0.002319434781397456,0.8473298879225906,0.8447157890679733,0.8500962587571483,0.0026902348445875246
binary,RF,S1,42,1000,0.8639736906005607,0.8616033372493215,0.8664448077946623,0.0024207352726703935,0.8473538867556838,0.8447448356444475,0.8501093691109899,0.0026822667332712102
binary,RF,S2A,42,1000,0.8805246388145718,0.8781570664357444,0.8826904563617926,0.002266694963024063,0.8678059433326294,0.865261347813425,0.8701566456609482,0.0024476489237615917
binary,XGB,S0,42,1000,0.8676411925949034,0.8652532213657732,0.8700122829512236,0.002379530792725182,0.8518181811835089,0.8491697358297653,0.854368121910915,0.0025991930405748764
binary,XGB,S1,42,1000,0.9022087365338696,0.9002291069079918,0.9042406322499368,0.0020057626709724663,0.8941532140431327,0.891950330576189,0.8962813437205468,0.002165506572178899
binary,XGB,S2A,42,1000,0.897481799494266,0.89537072943478,0.8994682662544511,0.002048768409835533,0.888139534144554,0.8858185141129253,0.8904006350876722,0.002291060487373431
multi,LR,S0,42,1000,0.3379915775787032,0.3358795359309925,0.3402692541592816,0.0021948591141445484,0.0007250793391263706,0.0006270669845841691,0.0007913844950881505,8.21587552519907e-05
multi,LR,S1,42,1000,0.3538316546844731,0.35028534616975665,0.35726162457202015,0.0034881392011317514,0.47482438716143976,0.46264725548421237,0.48635474521462324,0.011853744865205434
multi,LR,S2A,42,1000,0.35793148021212073,0.3545250819234247,0.3615764021379708,0.0035256601072730653,0.4872960223083703,0.47554969156868804,0.4988322319893367,0.011641270210324323
multi,RF,S0,42,1000,0.4820118001770101,0.46734229989673154,0.4979129837456771,0.015285341924472784,0.36736454985947514,0.3198449368388222,0.40018297819799026,0.04016902067958403
multi,RF,S1,42,1000,0.47274702075361547,0.4606194761138891,0.4872897597878599,0.013335141836985392,0.3208172606497769,0.05556212749204435,0.3704864535539754,0.15746216303096552
multi,RF,S2A,42,1000,0.4919738529800174,0.4761278690827046,0.5076220937159507,0.01574711231662304,0.4433863747748481,0.414419121156808,0.46941738394406207,0.02749913139362703
multi,XGB,S0,42,1000,0.5066627716495454,0.4910139061971173,0.521733770600643,0.015359932201762821,0.370163583828475,0.34835978912644483,0.3896887908659557,0.020664500869755437
multi,XGB,S1,42,1000,0.51270152177927,0.5012632519581455,0.5234478849322218,0.011092316487038179,0.5816389234873971,0.5685731495877682,0.5930012962891377,0.012214073350684751
multi,XGB,S2A,42,1000,0.5156095339586886,0.5038039933277144,0.5268407273587822,0.011518367015533881,0.5714528348085591,0.5566182712053607,0.5848999070068086,0.014140817900723968
