Class,Treatment,F1
Analysis,LR_S0,0.010040160642570281
Backdoor,LR_S0,0.0
DoS,LR_S0,0.04819277108433735
Exploits,LR_S0,0.6371906841339156
Fuzzers,LR_S0,0.38651451381958607
Generic,LR_S0,0.9774359250194982
Normal,LR_S0,0.7623550748105448
Reconnaissance,LR_S0,0.5582800697269029
Shellcode,LR_S0,0.0
Worms,LR_S0,0.0
Analysis,LR_S1,0.10772520716385993
Backdoor,LR_S1,0.06624126405347919
DoS,LR_S1,0.21674519753533888
Exploits,LR_S1,0.5745786192565228
Fuzzers,LR_S1,0.3851438813103654
Generic,LR_S1,0.9793289314108611
Normal,LR_S1,0.7281466007710466
Reconnaissance,LR_S1,0.3410719403840642
Shellcode,LR_S1,0.10562532255289868
Worms,LR_S1,0.03293687099725526
Analysis,LR_S2A,0.10369568160281575
Backdoor,LR_S2A,0.07891770011273957
DoS,LR_S2A,0.2058066887173833
Exploits,LR_S2A,0.5799265043638034
Fuzzers,LR_S2A,0.3847271634013128
Generic,LR_S2A,0.9792244886960739
Normal,LR_S2A,0.7297981944609735
Reconnaissance,LR_S2A,0.3771892952220821
Shellcode,LR_S2A,0.10673665791776028
Worms,LR_S2A,0.03377110694183865
Analysis,RF_S0,0.04051172707889126
Backdoor,RF_S0,0.056100981767180924
DoS,RF_S0,0.2578521464819641
Exploits,RF_S0,0.6993202346587205
Fuzzers,RF_S0,0.3941457922882072
Generic,RF_S0,0.9819729999191614
Normal,RF_S0,0.8535783452686574
Reconnaissance,RF_S0,0.8500843946601196
Shellcode,RF_S0,0.5015416238437821
Worms,RF_S0,0.18867924528301888
Analysis,RF_S1,0.024788732394366197
Backdoor,RF_S1,0.057244374259771025
DoS,RF_S1,0.25324588408512916
Exploits,RF_S1,0.6999627282892285
Fuzzers,RF_S1,0.3895292714780535
Generic,RF_S1,0.9818642377859819
Normal,RF_S1,0.8516334278725671
Reconnaissance,RF_S1,0.8498461538461538
Shellcode,RF_S1,0.5005107252298263
Worms,RF_S1,0.12
Analysis,RF_S2A,0.05071315372424723
Backdoor,RF_S2A,0.08977475287635715
DoS,RF_S2A,0.22563237774030354
Exploits,RF_S2A,0.7013048861796362
Fuzzers,RF_S2A,0.38954418232706917
Generic,RF_S2A,0.9821649873376799
Normal,RF_S2A,0.8213850623184331
Reconnaissance,RF_S2A,0.8482316072228026
Shellcode,RF_S2A,0.47330960854092524
Worms,RF_S2A,0.34375
Analysis,XGB_S0,0.06267806267806268
Backdoor,XGB_S0,0.03919308357348703
DoS,XGB_S0,0.16752206939026895
Exploits,XGB_S0,0.7093253241520767
Fuzzers,XGB_S0,0.40643522438611346
Generic,XGB_S0,0.9846707294155548
Normal,XGB_S0,0.8490451467953972
Reconnaissance,XGB_S0,0.8646915088576664
Shellcode,XGB_S0,0.4741235392320534
Worms,XGB_S0,0.5151515151515151
Analysis,XGB_S1,0.07730337078651685
Backdoor,XGB_S1,0.10152430255967788
DoS,XGB_S1,0.25460992907801416
Exploits,XGB_S1,0.6966360545943477
Fuzzers,XGB_S1,0.37195094150367025
Generic,XGB_S1,0.9831803869856562
Normal,XGB_S1,0.7582210197571688
Reconnaissance,XGB_S1,0.8588867897107979
Shellcode,XGB_S1,0.36531554643406877
Worms,XGB_S1,0.6607142857142857
Analysis,XGB_S2A,0.07785426062188465
Backdoor,XGB_S2A,0.09972636059592581
DoS,XGB_S2A,0.26424870466321243
Exploits,XGB_S2A,0.701098901098901
Fuzzers,XGB_S2A,0.3704836551328618
Generic,XGB_S2A,0.9840911533913791
Normal,XGB_S2A,0.7771693826514767
Reconnaissance,XGB_S2A,0.8616379944125864
Shellcode,XGB_S2A,0.3811074918566775
Worms,XGB_S2A,0.6407766990291263
