Task,Model,Strategy,Rare_Class,Precision,Precision_std,Recall,Recall_std,F1,F1_std
multi,LR,S0,Analysis,0.0156739811912225,,0.0073855243722304,,0.0100401606425702,
multi,LR,S0,Backdoor,0.0,,0.0,,0.0,
multi,LR,S0,Shellcode,0.0,,0.0,,0.0,
multi,LR,S0,Worms,0.0,,0.0,,0.0,
multi,LR,S1,Analysis,0.0592211609110947,,0.5952732644017725,,0.1077252071638599,
multi,LR,S1,Backdoor,0.0402511078286558,,0.1869639794168096,,0.0662412640534791,
multi,LR,S1,Shellcode,0.0564857405703771,,0.8121693121693122,,0.1056253225528986,
multi,LR,S1,Worms,0.0168067226890756,,0.8181818181818182,,0.0329368709972552,
multi,LR,S2A,Analysis,0.0570789865871833,,0.5657311669128509,,0.1036956816028157,
multi,LR,S2A,Backdoor,0.0472175379426644,,0.2401372212692967,,0.0789177001127395,
multi,LR,S2A,Shellcode,0.0571482106052089,,0.8068783068783069,,0.1067366579177602,
multi,LR,S2A,Worms,0.0172413793103448,,0.8181818181818182,,0.0337711069418386,
multi,RF,S0,Analysis,0.0316930775646372,,0.0561299852289512,,0.0405117270788912,
multi,RF,S0,Backdoor,0.0317604355716878,,0.2401372212692967,,0.0561009817671809,
multi,RF,S0,Shellcode,0.4100840336134453,,0.6455026455026455,,0.5015416238437821,
multi,RF,S0,Worms,0.5555555555555556,,0.1136363636363636,,0.1886792452830188,
multi,RF,S1,Analysis,0.0200364298724954,,0.0324963072378138,,0.0247887323943661,
multi,RF,S1,Backdoor,0.0323444122239571,,0.248713550600343,,0.057244374259771,
multi,RF,S1,Shellcode,0.4076539101497504,,0.6481481481481481,,0.5005107252298263,
multi,RF,S1,Worms,0.5,,0.0681818181818181,,0.12,
multi,RF,S2A,Analysis,0.0346507850568489,,0.0945347119645494,,0.0507131537242472,
multi,RF,S2A,Backdoor,0.0495705082319255,,0.4751286449399657,,0.0897747528763571,
multi,RF,S2A,Shellcode,0.35656836461126,,0.7037037037037037,,0.4733096085409252,
multi,RF,S2A,Worms,0.55,,0.25,,0.34375,
multi,XGB,S0,Analysis,0.0461861441567529,,0.0974889217134416,,0.0626780626780626,
multi,XGB,S0,Backdoor,0.0295138888888888,,0.0583190394511149,,0.039193083573487,
multi,XGB,S0,Shellcode,0.3463414634146341,,0.7513227513227513,,0.4741235392320534,
multi,XGB,S0,Worms,0.7727272727272727,,0.3863636363636363,,0.5151515151515151,
multi,XGB,S1,Analysis,0.0455870659952292,,0.2540620384047267,,0.0773033707865168,
multi,XGB,S1,Backdoor,0.0554073143933448,,0.6054888507718696,,0.1015243025596778,
multi,XGB,S1,Shellcode,0.2266072565245067,,0.9417989417989416,,0.3653155464340687,
multi,XGB,S1,Worms,0.5441176470588235,,0.8409090909090909,,0.6607142857142857,
multi,XGB,S2A,Analysis,0.0463800904977375,,0.242245199409158,,0.0778542606218846,
multi,XGB,S2A,Backdoor,0.0547122602168473,,0.5626072041166381,,0.0997263605959258,
multi,XGB,S2A,Shellcode,0.2397540983606557,,0.9285714285714286,,0.3811074918566775,
multi,XGB,S2A,Worms,0.559322033898305,,0.75,,0.6407766990291263,
