Task,Model,Strategy,N_Seeds,Macro_F1_Mean,Macro_F1_CI_Lower,Macro_F1_CI_Upper,Macro_F1_Error_Margin,G_Mean_Mean,G_Mean_CI_Lower,G_Mean_CI_Upper,G_Mean_Error_Margin,ROC_AUC_Mean,ROC_AUC_CI_Lower,ROC_AUC_CI_Upper,ROC_AUC_Error_Margin,Weighted_F1_Mean,Weighted_F1_CI_Lower,Weighted_F1_CI_Upper,Weighted_F1_Error_Margin
binary,LR,S0,5,0.7930805868196045,0.791593604171184,0.794567569468025,0.0014869826484205095,0.7888579167272806,0.7874685117749142,0.790247321679647,0.001389404952366391,0.9544093569127231,0.9534520464527463,0.9553666673726999,0.0009573104599768234,0.7985899835410325,0.797170829912358,0.800009137169707,0.0014191536286745077
binary,LR,S1,5,0.8284582204021825,0.826507360354783,0.8304090804495821,0.0019508600473995275,0.8238310642681859,0.8218783888319563,0.8257837397044154,0.0019526754362295673,0.955105082025465,0.9542591348464198,0.9559510292045101,0.0008459471790451811,0.8317711790886297,0.8298826266419939,0.8336597315352656,0.0018885524466358827
binary,LR,S2A,2,0.8304664990806294,0.8165074936157906,0.8444255045454683,0.013959005464838858,0.8258371814194853,0.811773112619495,0.8399012502194755,0.014064068799990226,0.9557508832731965,0.9505186124844168,0.9609831540619761,0.005232270788779636,0.833717005224123,0.8202401009632344,0.8471939094850115,0.013476904260888545
binary,RF,S0,5,0.8599039311817254,0.8567290254894563,0.8630788368739944,0.003174905692269081,0.8530971463389623,0.849908873328275,0.8562854193496495,0.003188273010687248,0.9820996277911196,0.9810601811242512,0.983139074457988,0.0010394466668683933,0.8630465633493601,0.8599905433028412,0.8661025833958791,0.003056020046518948
binary,RF,S1,5,0.8877282381840519,0.8712359307782135,0.9042205455898903,0.016492307405838402,0.88192377104891,0.8647733856188382,0.8990741564789817,0.017150385430071746,0.9832221320301153,0.9812405427831415,0.9852037212770891,0.0019815892469737806,0.889858987429041,0.8739556156723546,0.9057623591857275,0.015903371756686435
binary,RF,S2A,5,0.8935095857988046,0.8845033230711924,0.9025158485264168,0.00900626272761218,0.8880253772169769,0.878504551069541,0.8975462033644129,0.00952082614743599,0.9832634711235544,0.9816122152428479,0.9849147270042609,0.0016512558807064703,0.8954280779940664,0.8867246119328084,0.9041315440553245,0.008703466061258047
binary,XGB,S0,5,0.8691522170749941,0.8671118309865989,0.8711926031633893,0.002040386088395185,0.8624341242151001,0.8604327513432919,0.8644354970869084,0.002001372871808238,0.9856223250206883,0.985125540434534,0.9861191096068425,0.0004967845861542086,0.8719530239202042,0.8699652207772757,0.8739408270631328,0.001987803142928568
binary,XGB,S1,5,0.906159748884128,0.9033219558367316,0.9089975419315244,0.0028377930473963975,0.9015278581325523,0.8985157770590383,0.9045399392060663,0.003012081073514028,0.9861219223458878,0.9856945862483044,0.9865492584434712,0.0004273360975833862,0.9076899912150225,0.9049286930956086,0.9104512893344363,0.0027612981194138353
binary,XGB,S2A,5,0.9039369116977498,0.8993893913785339,0.9084844320169657,0.004547520319215903,0.8990093534547519,0.8941394456265557,0.903879261282948,0.004869907828196185,0.9861759927954956,0.9858607964956362,0.986491189095355,0.00031519629985943265,0.9055505816801748,0.901139596106328,0.9099615672540216,0.004410985573846782
multi,LR,S0,5,0.34043671264527864,0.33874600145052736,0.3421274238400299,0.001690711194751282,0.610562069181548,0.6095406056068547,0.6115835327562412,0.0010214635746932377,0.9485442805189278,0.9482707737884832,0.9488177872493724,0.00027350673044457263,0.707537324954715,0.7074633908143111,0.7076112590951189,7.393414040390844e-05
multi,LR,S1,5,0.35234761367487843,0.35137115884586195,0.3533240685038949,0.0009764548290164821,0.7278083596939752,0.7273816804229465,0.7282350389650039,0.00042667927102868486,0.9421177861236647,0.9420700085109202,0.9421655637364093,4.777761274454839e-05,0.6843581034643746,0.6840183205196178,0.6846978864091315,0.0003397829447568945
multi,LR,S2A,1,0.3579793481436783,0.3579793481436783,0.3579793481436783,,0.7322444957025928,0.7322444957025928,0.7322444957025928,,0.9423771660661717,0.9423771660661717,0.9423771660661717,,0.687310852883778,0.687310852883778,0.687310852883778,
multi,RF,S0,4,0.45798972220063766,0.43202012657843253,0.4839593178228428,0.025969595622205133,0.6873055216543664,0.6720220365352283,0.7025890067735046,0.01528348511913813,0.9550487441172325,0.9433054041928609,0.9667920840416041,0.011743339924371599,0.7752601111683712,0.7654811095176327,0.7850391128191098,0.009779001650738528
multi,RF,S1,1,0.4728625535241077,0.4728625535241077,0.4728625535241077,,0.696604717241606,0.696604717241606,0.696604717241606,,0.9430173805680214,0.9430173805680214,0.9430173805680214,,0.7827299405770715,0.7827299405770715,0.7827299405770715,
multi,RF,S2A,1,0.49258106182674544,0.49258106182674544,0.49258106182674544,,0.729296334584302,0.729296334584302,0.729296334584302,,0.91064921708899,0.91064921708899,0.91064921708899,,0.7683860663837573,0.7683860663837573,0.7683860663837573,
multi,XGB,S0,1,0.5072836203632196,0.5072836203632196,0.5072836203632196,,0.7247819076102077,0.7247819076102077,0.7247819076102077,,0.9630612100905104,0.9630612100905104,0.9630612100905104,,0.7813673765033784,0.7813673765033784,0.7813673765033784,
multi,XGB,S1,1,0.5128342627124204,0.5128342627124204,0.5128342627124204,,0.7948148755550177,0.7948148755550177,0.7948148755550177,,0.9587963138638808,0.9587963138638808,0.9587963138638808,,0.7401732734942467,0.7401732734942467,0.7401732734942467,
multi,XGB,S2A,1,0.515819460345403,0.515819460345403,0.515819460345403,,0.7865169573372476,0.7865169573372476,0.7865169573372476,,0.9578749685244421,0.9578749685244421,0.9578749685244421,,0.7500419786885238,0.7500419786885238,0.7500419786885238,
